Genome	KEGG_class	Counts
MGYG-HGUT-00240	09191	345
MGYG-HGUT-00240	09192	233
MGYG-HGUT-00240	09193	158
MGYG-HGUT-00240	09194	411
MGYG-HGUT-00240	09141	13
MGYG-HGUT-00240	09168	101
MGYG-HGUT-00240	09154	5
MGYG-HGUT-00240	09121	5
MGYG-HGUT-00240	09165	15
MGYG-HGUT-00240	09123	76
MGYG-HGUT-00240	09122	137
MGYG-HGUT-00240	09124	350
MGYG-HGUT-00240	09109	144
MGYG-HGUT-00240	09108	242
MGYG-HGUT-00240	09107	168
MGYG-HGUT-00240	09106	91
MGYG-HGUT-00240	09105	373
MGYG-HGUT-00240	09104	261
MGYG-HGUT-00240	09103	130
MGYG-HGUT-00240	09102	224
MGYG-HGUT-00240	09101	989
MGYG-HGUT-00240	09149	14
MGYG-HGUT-00240	09183	1728
MGYG-HGUT-00240	09182	1742
MGYG-HGUT-00240	09181	675
MGYG-HGUT-00240	09143	56
MGYG-HGUT-00240	09142	28
MGYG-HGUT-00240	09167	26
MGYG-HGUT-00240	09166	12
MGYG-HGUT-00240	09161	104
MGYG-HGUT-00240	09145	227
MGYG-HGUT-00240	09162	3
MGYG-HGUT-00240	09163	8
MGYG-HGUT-00240	09132	165
MGYG-HGUT-00240	09155	2
MGYG-HGUT-00240	09156	6
MGYG-HGUT-00240	09131	407
MGYG-HGUT-00240	09151	35
MGYG-HGUT-00240	09152	35
MGYG-HGUT-00240	09110	151
MGYG-HGUT-00240	09111	95
MGYG-HGUT-00240	09158	1
MGYG-HGUT-00240	09159	13
