Genome	KEGG_module	Counts
MGYG-HGUT-00240	M00171	4
MGYG-HGUT-00240	M00173	11
MGYG-HGUT-00240	M00172	3
MGYG-HGUT-00240	M00176	14
MGYG-HGUT-00240	M00179	39
MGYG-HGUT-00240	M00178	75
MGYG-HGUT-00240	M00078	1
MGYG-HGUT-00240	M00079	6
MGYG-HGUT-00240	M00740	2
MGYG-HGUT-00240	M00741	2
MGYG-HGUT-00240	M00744	1
MGYG-HGUT-00240	M00076	2
MGYG-HGUT-00240	M00077	2
MGYG-HGUT-00240	M00580	5
MGYG-HGUT-00240	M00377	6
MGYG-HGUT-00240	M00376	3
MGYG-HGUT-00240	M00375	2
MGYG-HGUT-00240	M00374	4
MGYG-HGUT-00240	M00373	3
MGYG-HGUT-00240	M00620	1
MGYG-HGUT-00240	M00704	1
MGYG-HGUT-00240	M00064	16
MGYG-HGUT-00240	M00063	11
MGYG-HGUT-00240	M00061	15
MGYG-HGUT-00240	M00060	3
MGYG-HGUT-00240	M00140	9
MGYG-HGUT-00240	M00141	4
MGYG-HGUT-00240	M00345	19
MGYG-HGUT-00240	M00596	5
MGYG-HGUT-00240	M00308	9
MGYG-HGUT-00240	M00260	28
MGYG-HGUT-00240	M00307	2
MGYG-HGUT-00240	M00854	16
MGYG-HGUT-00240	M00855	8
MGYG-HGUT-00240	M00852	1
MGYG-HGUT-00240	M00850	7
MGYG-HGUT-00240	M00851	1
MGYG-HGUT-00240	M00012	1
MGYG-HGUT-00240	M00013	3
MGYG-HGUT-00240	M00010	1
MGYG-HGUT-00240	M00011	4
MGYG-HGUT-00240	M00016	16
MGYG-HGUT-00240	M00017	8
MGYG-HGUT-00240	M00014	21
MGYG-HGUT-00240	M00015	3
MGYG-HGUT-00240	M00018	8
MGYG-HGUT-00240	M00019	4
MGYG-HGUT-00240	M00157	15
MGYG-HGUT-00240	M00150	2
MGYG-HGUT-00240	M00609	7
MGYG-HGUT-00240	M00338	1
MGYG-HGUT-00240	M00569	6
MGYG-HGUT-00240	M00093	2
MGYG-HGUT-00240	M00090	5
MGYG-HGUT-00240	M00565	13
MGYG-HGUT-00240	M00096	42
MGYG-HGUT-00240	M00095	3
MGYG-HGUT-00240	M00845	1
MGYG-HGUT-00240	M00844	3
MGYG-HGUT-00240	M00847	4
MGYG-HGUT-00240	M00846	15
MGYG-HGUT-00240	M00841	5
MGYG-HGUT-00240	M00840	6
MGYG-HGUT-00240	M00849	3
MGYG-HGUT-00240	M00848	5
MGYG-HGUT-00240	M00001	38
MGYG-HGUT-00240	M00003	18
MGYG-HGUT-00240	M00002	11
MGYG-HGUT-00240	M00005	2
MGYG-HGUT-00240	M00004	34
MGYG-HGUT-00240	M00007	20
MGYG-HGUT-00240	M00006	7
MGYG-HGUT-00240	M00009	5
MGYG-HGUT-00240	M00008	9
MGYG-HGUT-00240	M00778	2
MGYG-HGUT-00240	M00129	14
MGYG-HGUT-00240	M00126	13
MGYG-HGUT-00240	M00127	3
MGYG-HGUT-00240	M00124	1
MGYG-HGUT-00240	M00125	22
MGYG-HGUT-00240	M00122	1
MGYG-HGUT-00240	M00123	1
MGYG-HGUT-00240	M00120	12
MGYG-HGUT-00240	M00121	9
MGYG-HGUT-00240	M00089	3
MGYG-HGUT-00240	M00088	2
MGYG-HGUT-00240	M00579	7
MGYG-HGUT-00240	M00081	1
MGYG-HGUT-00240	M00083	2
MGYG-HGUT-00240	M00082	11
MGYG-HGUT-00240	M00570	5
MGYG-HGUT-00240	M00573	1
MGYG-HGUT-00240	M00086	3
MGYG-HGUT-00240	M00625	5
MGYG-HGUT-00240	M00873	5
MGYG-HGUT-00240	M00874	5
MGYG-HGUT-00240	M00875	1
MGYG-HGUT-00240	M00627	13
MGYG-HGUT-00240	M00039	1
MGYG-HGUT-00240	M00034	9
MGYG-HGUT-00240	M00035	78
MGYG-HGUT-00240	M00159	2
MGYG-HGUT-00240	M00033	4
MGYG-HGUT-00240	M00660	3
MGYG-HGUT-00240	M00135	8
MGYG-HGUT-00240	M00136	2
MGYG-HGUT-00240	M00131	7
MGYG-HGUT-00240	M00549	8
MGYG-HGUT-00240	M00542	4
MGYG-HGUT-00240	M00705	1
MGYG-HGUT-00240	M00545	6
MGYG-HGUT-00240	M00546	2
MGYG-HGUT-00240	M00868	3
MGYG-HGUT-00240	M00867	1
MGYG-HGUT-00240	M00866	2
MGYG-HGUT-00240	M00860	2
MGYG-HGUT-00240	M00029	3
MGYG-HGUT-00240	M00028	1
MGYG-HGUT-00240	M00022	17
MGYG-HGUT-00240	M00021	21
MGYG-HGUT-00240	M00020	6
MGYG-HGUT-00240	M00026	4
MGYG-HGUT-00240	M00025	5
MGYG-HGUT-00240	M00024	4
MGYG-HGUT-00240	M00554	3
MGYG-HGUT-00240	M00552	6
MGYG-HGUT-00240	M00551	1
MGYG-HGUT-00240	M00550	2
MGYG-HGUT-00240	M00651	15
MGYG-HGUT-00240	M00652	8
MGYG-HGUT-00240	M00346	5
MGYG-HGUT-00240	M00344	8
MGYG-HGUT-00240	M00183	5
MGYG-HGUT-00240	M00718	1
MGYG-HGUT-00240	M00797	6
MGYG-HGUT-00240	M00793	48
MGYG-HGUT-00240	M00577	1
MGYG-HGUT-00240	M00117	2
MGYG-HGUT-00240	M00116	11
MGYG-HGUT-00240	M00115	14
MGYG-HGUT-00240	M00114	30
MGYG-HGUT-00240	M00119	1
MGYG-HGUT-00240	M00118	2
MGYG-HGUT-00240	M00526	13
MGYG-HGUT-00240	M00527	14
MGYG-HGUT-00240	M00525	13
MGYG-HGUT-00240	M00643	1
MGYG-HGUT-00240	M00642	1
MGYG-HGUT-00240	M00572	7
MGYG-HGUT-00240	M00052	9
MGYG-HGUT-00240	M00053	20
MGYG-HGUT-00240	M00050	9
MGYG-HGUT-00240	M00051	25
MGYG-HGUT-00240	M00357	7
MGYG-HGUT-00240	M00725	2
MGYG-HGUT-00240	M00801	1
MGYG-HGUT-00240	M00802	1
MGYG-HGUT-00240	M00166	4
MGYG-HGUT-00240	M00167	21
MGYG-HGUT-00240	M00165	25
MGYG-HGUT-00240	M00169	3
MGYG-HGUT-00240	M00531	1
MGYG-HGUT-00240	M00530	1
MGYG-HGUT-00240	M00532	3
MGYG-HGUT-00240	M00049	15
MGYG-HGUT-00240	M00048	21
MGYG-HGUT-00240	M00040	2
