# Constructed from biom file
# OTU ID	ERR1022502	taxonomy
36488	26.0	Unclassified
14418	9.0	sk__Archaea;k__;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halococcus
2141	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales
7313	3.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter
9686	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_millerae
4053	63531.0	sk__Bacteria
4901	14.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_F082
8074	3956.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__candidate_division_SR1_bacterium_MGEHA
11284	4.0	sk__Bacteria;k__;p__;c__;o__Haloplasmatales
4736	151.0	sk__Bacteria;k__;p__;c__;o__Haloplasmatales;f__Haloplasmataceae
23731	2.0	sk__Bacteria;k__;p__;c__;o__Haloplasmatales;f__Haloplasmataceae;g__Haloplasma;s__Haloplasma_contractile
18472	45.0	sk__Bacteria;k__;p__Acidobacteria
31978	2.0	sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__Thermoanaerobaculum
18308	256.0	sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__Thermoanaerobaculum;s__Thermoanaerobaculum_aquaticum
27485	9.0	sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia
14408	20.0	sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales
23620	33.0	sk__Bacteria;k__;p__Acidobacteria;c__Holophagae
34238	5.0	sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales
26343	51.0	sk__Bacteria;k__;p__Actinobacteria
30442	44.0	sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
15334	5.0	sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae
22920	5890.0	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria
31565	4841.0	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales
16142	3683.0	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae
