Genome	KEGG_class	Counts
MGYG-HGUT-00279	09191	67
MGYG-HGUT-00279	09192	38
MGYG-HGUT-00279	09193	52
MGYG-HGUT-00279	09194	97
MGYG-HGUT-00279	09141	3
MGYG-HGUT-00279	09168	31
MGYG-HGUT-00279	09154	1
MGYG-HGUT-00279	09121	6
MGYG-HGUT-00279	09143	16
MGYG-HGUT-00279	09123	38
MGYG-HGUT-00279	09122	103
MGYG-HGUT-00279	09124	93
MGYG-HGUT-00279	09109	31
MGYG-HGUT-00279	09108	170
MGYG-HGUT-00279	09107	50
MGYG-HGUT-00279	09106	47
MGYG-HGUT-00279	09105	238
MGYG-HGUT-00279	09104	134
MGYG-HGUT-00279	09103	38
MGYG-HGUT-00279	09102	130
MGYG-HGUT-00279	09101	259
MGYG-HGUT-00279	09149	10
MGYG-HGUT-00279	09183	391
MGYG-HGUT-00279	09182	504
MGYG-HGUT-00279	09181	201
MGYG-HGUT-00279	09165	4
MGYG-HGUT-00279	09142	2
MGYG-HGUT-00279	09167	12
MGYG-HGUT-00279	09166	5
MGYG-HGUT-00279	09161	14
MGYG-HGUT-00279	09145	67
MGYG-HGUT-00279	09163	3
MGYG-HGUT-00279	09132	42
MGYG-HGUT-00279	09155	1
MGYG-HGUT-00279	09156	2
MGYG-HGUT-00279	09131	98
MGYG-HGUT-00279	09151	2
MGYG-HGUT-00279	09152	8
MGYG-HGUT-00279	09110	37
MGYG-HGUT-00279	09111	35
MGYG-HGUT-00279	09159	1
