Module_accession	% completeness	#matching_KO	list_matching_KO
M00868	100.0	8	K01698, K01749, K00643, K00231, K00228, K01772, K01719, K01599
M00159	100.0	9	K02107, K02117, K02119, K02118, K02122, K02123, K02120, K02121, K02124
M00016	100.0	11	K00215, K00133, K00674, K01439, K01778, K01586, K01714, K12524, K00928, K00821, K14267
M00017	100.0	9	K00133, K00651, K12524, K00928, K01760, K01739, K00003, K00548, K00549
M00116	100.0	3	K03183, K02548, K19222
M00153	100.0	3	K00425, K00424, K00426
M00035	100.0	4	K00789, K01697, K01251, K00558
M00018	100.0	8	K00133, K00872, K12524, K01733, K00928, K00003, K02204, K02203
M00019	100.0	5	K01687, K01653, K01652, K00826, K00053
M00157	100.0	8	K02113, K02112, K02111, K02110, K02115, K02114, K02108, K02109
M00031	100.0	1	K05826
M00119	100.0	3	K00826, K00077, K00606
M00064	100.0	4	K03274, K03271, K03273, K03272
M00741	100.0	6	K05606, K01966, K01965, K01848, K01849, K01847
M00527	100.0	8	K10206, K00215, K00133, K01778, K01586, K01714, K12524, K00928
M00135	100.0	3	K00274, K00657, K00128
M00038	100.0	8	K10217, K00452, K00453, K03392, K00463, K01556, K01432, K00486
M00338	100.0	2	K01697, K01758
M00052	100.0	4	K13799, K00940, K01937, K00945
M00133	100.0	2	K01585, K01480
M00763	100.0	1	K05826
M00378	100.0	1	K11779
M00093	100.0	3	K17103, K01613, K00981
M00091	100.0	1	K00570
M00096	100.0	9	K01662, K00099, K12506, K00991, K01823, K03527, K03526, K01770, K00919
M00097	100.0	6	K09835, K15744, K02291, K06443, K02293, K00514
M00063	100.0	4	K00979, K06041, K03270, K01627
M00844	100.0	3	K01755, K00611, K01940
M00050	100.0	5	K00088, K01951, K00942, K00873, K00940
M00145	100.0	14	K05575, K05583, K05581, K05580, K05572, K05573, K05585, K05584, K05576, K05577, K05578, K05579, K05574, K05582
M00866	100.0	10	K02535, K02527, K02536, K02517, K16363, K00677, K00748, K00912, K09778, K03269
M00021	100.0	2	K00640, K01738
M00115	100.0	5	K01916, K03517, K00278, K00767, K00969
M00001	100.0	17	K00850, K01689, K15916, K01810, K06859, K01623, K01624, K00927, K00873, K00150, K00134, K01834, K01803, K00886, K11645, K15635, K15633
M00003	100.0	15	K01689, K01596, K03841, K11532, K01610, K00927, K00150, K00134, K01834, K01803, K11645, K01623, K01624, K15635, K15633
M00161	100.0	6	K02703, K02706, K02707, K02704, K02705, K02708
M00005	100.0	1	K00948
M00004	100.0	12	K01808, K15916, K01810, K01807, K01057, K01783, K00615, K00036, K00616, K07404, K06859, K00033
M00006	100.0	4	K01057, K00036, K07404, K00033
M00008	100.0	5	K01690, K01057, K01625, K00036, K07404
M00020	100.0	3	K01079, K00058, K00831
M00169	100.0	2	K00029, K01006
M00140	100.0	3	K00600, K01491, K01938
M00026	100.0	13	K02500, K02501, K02502, K11755, K00817, K01693, K01814, K00765, K04486, K01089, K01523, K00013, K01496
M00149	100.0	4	K00241, K00239, K00242, K00240
M00531	100.0	2	K00366, K00367
M00554	100.0	2	K00965, K00849
M00049	100.0	6	K01756, K01939, K00939, K18532, K00873, K00940
M00552	100.0	5	K01684, K00134, K00883, K01631, K00927
M00045	100.0	6	K05603, K01745, K13990, K01712, K01458, K01468
M00597	100.0	2	K08928, K08929
M00125	100.0	2	K20862, K01497
M00122	100.0	6	K02225, K02227, K02232, K02231, K00798, K19221
M00346	100.0	10	K08692, K08691, K01689, K11529, K00018, K00600, K01595, K00830, K14067, K00024
M00088	100.0	3	K01640, K01641, K00626
M00364	100.0	3	K13789, K00795, K01823
M00596	100.0	7	K00958, K00395, K00394, K11180, K11181, K00957, K00956
M00595	100.0	7	K17223, K17222, K17227, K17226, K17225, K17224, K22622
M00027	100.0	3	K00135, K16871, K01580
M00632	100.0	4	K00965, K01785, K01784, K00849
M00570	100.0	7	K01754, K01687, K17989, K00053, K00826, K01653, K01652
M00086	100.0	1	K01897
M00793	100.0	4	K00973, K01710, K01790, K00067
M00535	100.0	4	K01704, K01703, K00052, K09011
M00165	90.91	13	K00855, K11532, K01601, K00927, K00134, K01624, K00615, K01808, K00150, K03841, K01807, K01623, K01602
M00121	90.0	13	K01698, K01749, K01719, K01772, K01845, K01599, K02492, K02495, K00230, K00231, K13542, K01885, K00228
M00034	88.89	10	K00899, K08964, K01244, K08967, K01243, K08963, K09880, K01611, K00797, K00789
M00373	88.89	8	K17865, K08691, K14446, K14447, K14448, K14449, K00626, K00023
M00060	88.89	8	K02535, K02527, K02536, K02517, K00677, K00748, K00912, K03269
M00162	87.5	7	K03689, K02643, K02637, K02634, K02640, K02636, K02635
M00053	87.5	8	K00524, K00525, K00526, K00560, K01520, K00943, K00940, K01494
M00845	85.71	6	K01755, K00821, K00145, K01438, K09065, K01940
M00167	85.71	7	K01808, K03841, K11532, K01807, K01623, K01624, K00615
M00095	85.71	6	K01823, K00869, K01597, K01641, K00021, K00626
M00163	83.33	5	K02694, K02689, K02691, K02692, K02693
M00124	83.33	5	K00275, K00097, K03474, K03473, K00831
M00526	83.33	6	K00133, K01586, K00215, K01714, K12524, K00928
M00572	83.33	7	K02372, K19560, K00059, K00647, K09458, K00208, K02169
M00012	80.0	6	K01682, K01681, K01638, K01637, K00024, K01647
M00011	80.0	15	K01676, K01679, K00240, K01903, K01902, K00239, K00116, K00658, K00164, K00175, K00174, K00382, K00241, K00024, K00242
M00061	80.0	4	K01686, K01812, K00874, K01625
