Module_accession	% completeness	#missing_KO	list_missing_KO
M00034	88.89	4	K00832, K00815, K00838, K08969
M00373	88.89	1	K14451
M00060	88.89	1	K02560
M00162	87.5	1	K02642
M00053	87.5	2	K21636, K00527
M00845	85.71	1	K22478
M00095	85.71	2	K00938, K13273
M00163	83.33	1	K02690
M00124	83.33	1	K03472
M00526	83.33	1	K03340
M00061	80.0	1	K00040
M00631	80.0	1	K00041
M00044	80.0	3	K03334, K00815, K00838
M00033	80.0	1	K00836
M00117	77.78	2	K03184, K18800
M00308	75.0	1	K05308
M00172	75.0	1	K00051
M00358	75.0	1	K05884
M00144	72.73	1	K00336
M00036	72.5	2	K09699, K01968
M00374	69.23	9	K14467, K00169, K00172, K00171, K00170, K15038, K15017, K14465, K18861
M00345	66.67	2	K13812, K08093
M00627	66.67	1	K02172
M00842	66.67	1	K00072
M00841	66.67	2	K13998, K22101
M00025	66.67	3	K00832, K00815, K00838
M00843	66.67	1	K17745
M00525	66.67	3	K05822, K05823, K00841
M00849	62.5	1	K17942
M00577	60.0	2	K00652, K01906
M00029	60.0	2	K01476, K01948
M00573	60.0	2	K16593, K00652
M00530	58.33	2	K00362, K00370
M00376	55.56	5	K14472, K14471, K14468, K14469, K15052
M00532	55.56	5	K11517, K15893, K14272, K15919, K19269
M00173	54.55	7	K00169, K00172, K00171, K00170, K03737, K15230, K15231
M00170	50.0	2	K14455, K14454
M00037	50.0	2	K00502, K00543
M00642	50.0	2	K18303, K18302
M00134	50.0	1	K01476
M00136	50.0	2	K09470, K09473
M00098	50.0	1	K01054
M00580	50.0	2	K13812, K08093
M00565	50.0	3	K06044, K01214, K01236
M00623	50.0	2	K18067, K18069
M00622	50.0	4	K18029, K14974, K15357, K18030
M00840	50.0	3	K22099, K13941, K22100
M00141	50.0	1	K00288
M00143	50.0	5	K03936, K03943, K03934, K03935, K03938
M00533	50.0	2	K00455, K05921
M00128	50.0	3	K06126, K06127, K06125
M00100	50.0	1	K04718
M00024	50.0	2	K00832, K00838
M00040	50.0	2	K00832, K15849
M00107	50.0	1	K00498
M00344	50.0	2	K17100, K00863
M00579	50.0	3	K13788, K00625, K15024
M00365	50.0	1	K13787
M00366	50.0	2	K14066, K00787
M00615	50.0	1	M00531
M00874	50.0	3	K07512, K11262, K22541
M00698	50.0	3	K18903, K18902, K18901
M00740	45.45	7	K00261, K04835, K19268, K01846, K19282, K19281, K19280
M00377	42.86	6	K00194, K00197, K00198, K14138, K05299, K15023
M00114	42.86	4	K00225, K14190, K18649, K10047
M00129	42.86	5	K00103, K00699, K14756, K00002, K01195
M00575	40.0	3	K11004, K22944, K11003
M00013	40.0	6	K05605, K14729, K07511, K23146, K07514, K07515
M00546	40.0	5	K01466, K16840, K16842, K13485, K16838
M00032	38.1	4	K00825, K15791, K00293, K14085
M00014	37.5	9	K00002, K16190, K01195, K00008, K00699, K05351, K12447, K14756, K13247
M00375	35.71	12	K15020, K15037, K14465, K14466, K15017, K01964, K15038, K15039, K15036, K15019, K15018, K18861
M00620	35.71	12	K00170, K01677, K00169, K01959, K00172, K00171, K01678, K00177, K00176, K18209, K01960, K18210
M00545	33.33	4	K05714, K02554, K04073, K05713
M00367	33.33	2	K00804, K00787
M00081	33.33	2	K01213, K01184
M00110	33.33	2	K00512, K07434
M00156	33.33	2	K00407, K15862
