# Constructed from biom file
# OTU ID	LSU_rRNA	taxonomy	taxid
1039	6.0	sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata	183967
3616	4.0	sk__Bacteria	2
14998	1.0	sk__Bacteria;k__;p__Actinobacteria	201174
36990	2.0	sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia	84992
29278	2.0	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria	1760
30206	5.0	sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia	200643
36564	2.0	sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	768507
14639	10.0	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	49546
36046	1.0	sk__Bacteria;k__;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__Balneola	455358
36879	5.0	sk__Bacteria;k__;p__Candidatus_Marinimicrobia	62680
9653	2.0	sk__Bacteria;k__;p__Chloroflexi;c__Dehalococcoidia	301297
3835	1.0	sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales	1890424
33567	1.0	sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus	1218
6189	17.0	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria	28211
11210	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__alpha_proteobacterium_SCGC_AAA015-O19	939301
773	2.0	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Candidatus_Puniceispirillum	767891
5090	5.0	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales	54526
22593	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae	1655514
26108	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter	198251
21279	6.0	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	31989
5156	2.0	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__Rhodobacteraceae_bacterium_SB2	1689867
32096	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	204441
24414	2.0	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	119060
13216	3.0	sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria	28221
16298	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__SAR324_cluster_bacterium_JCVI-SC_AAA005	1073573
33190	23.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria	1236
28375	2.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas	226
36329	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter	2742
11986	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas	53246
4164	2.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae	1706372
9325	2.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Porticoccaceae	1706374
23057	4.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	135618
785	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae	28256
13779	1.0	sk__Bacteria;k__;p__Verrucomicrobia	74201
455	1.0	sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae	415002
7787	4.0	sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita	442430
25676	1.0	sk__Eukaryota	2759
