contig	module_accession	completeness	pathway_name	pathway_class	matching_ko	missing_ko
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00122	100.0	Cobalamin biosynthesis, cobinamide => cobalamin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K02232,K19221,K02231,K02227	
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00052	66.67	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K01937,K09903	K00940
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00120	66.67	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K13038,K03525	K02318
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00048	62.5	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00602,K01923,K00764,K01756,K01952	K01933,K01945,K00601
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00049	50.0	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01756,K01939	K00940,K00939
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00527	42.86	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714,K00215,K10206	K01778,K00928,K01586,K00133
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00126	40.0	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K11754,K22391	K13939,K00287,K01077
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00096	37.5	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K03526,K03527,K00099	K00991,K01823,K00919,K01770,K01662
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00003	35.71	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01689,K04041,K01610	K00927,K01623,K00134,K01803,K01834
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00081	33.33	Pectin degradation	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01051	K01213,K01184
