ERZ815347-390	ERZ815347-390	sactipeptide	ERZ815347-390_10;ERZ815347-390_11;ERZ815347-390_12;ERZ815347-390_13;ERZ815347-390_14;ERZ815347-390_15;ERZ815347-390_16;ERZ815347-390_17;ERZ815347-390_18;ERZ815347-390_19;ERZ815347-390_20;ERZ815347-390_21;ERZ815347-390_22;ERZ815347-390_23;ERZ815347-390_24;ERZ815347-390_25;ERZ815347-390_26;ERZ815347-390_27;ERZ815347-390_28;ERZ815347-390_29;ERZ815347-390_30	ERZ815347-390_10;ERZ815347-390_11;ERZ815347-390_12;ERZ815347-390_13;ERZ815347-390_14;ERZ815347-390_15;ERZ815347-390_16;ERZ815347-390_17;ERZ815347-390_18;ERZ815347-390_19;ERZ815347-390_20;ERZ815347-390_21;ERZ815347-390_22;ERZ815347-390_23;ERZ815347-390_24;ERZ815347-390_25;ERZ815347-390_26;ERZ815347-390_27;ERZ815347-390_28;ERZ815347-390_29;ERZ815347-390_30	Sactipeptide cluster
ERZ815347-471	ERZ815347-471	butyrolactone	ERZ815347-471_24;ERZ815347-471_25;ERZ815347-471_26;ERZ815347-471_27;ERZ815347-471_28;ERZ815347-471_29;ERZ815347-471_30;ERZ815347-471_31	ERZ815347-471_24;ERZ815347-471_25;ERZ815347-471_26;ERZ815347-471_27;ERZ815347-471_28;ERZ815347-471_29;ERZ815347-471_30;ERZ815347-471_31	Butyrolactone cluster
ERZ815347-506	ERZ815347-506	thiopeptide	ERZ815347-506_7;ERZ815347-506_8;ERZ815347-506_9;ERZ815347-506_10;ERZ815347-506_11;ERZ815347-506_12;ERZ815347-506_13;ERZ815347-506_14;ERZ815347-506_15;ERZ815347-506_16;ERZ815347-506_17;ERZ815347-506_18;ERZ815347-506_19;ERZ815347-506_20;ERZ815347-506_21;ERZ815347-506_22;ERZ815347-506_23;ERZ815347-506_24	ERZ815347-506_7;ERZ815347-506_8;ERZ815347-506_9;ERZ815347-506_10;ERZ815347-506_11;ERZ815347-506_12;ERZ815347-506_13;ERZ815347-506_14;ERZ815347-506_15;ERZ815347-506_16;ERZ815347-506_17;ERZ815347-506_18;ERZ815347-506_19;ERZ815347-506_20;ERZ815347-506_21;ERZ815347-506_22;ERZ815347-506_23;ERZ815347-506_24	Thiopeptide cluster
ERZ815347-799	ERZ815347-799	arylpolyene	ERZ815347-799_1;ERZ815347-799_2;ERZ815347-799_3;ERZ815347-799_4;ERZ815347-799_5;ERZ815347-799_6;ERZ815347-799_7;ERZ815347-799_8;ERZ815347-799_9;ERZ815347-799_10;ERZ815347-799_11;ERZ815347-799_12;ERZ815347-799_13;ERZ815347-799_14;ERZ815347-799_15;ERZ815347-799_16;ERZ815347-799_17;ERZ815347-799_18;ERZ815347-799_19	ERZ815347-799_1;ERZ815347-799_2;ERZ815347-799_3;ERZ815347-799_4;ERZ815347-799_5;ERZ815347-799_6;ERZ815347-799_7;ERZ815347-799_8;ERZ815347-799_9;ERZ815347-799_10;ERZ815347-799_11;ERZ815347-799_12;ERZ815347-799_13;ERZ815347-799_14;ERZ815347-799_15;ERZ815347-799_16;ERZ815347-799_17;ERZ815347-799_18;ERZ815347-799_19	Aryl polyene cluster
ERZ815347-1477	ERZ815347-1477	nrps	ERZ815347-1477_1;ERZ815347-1477_2;ERZ815347-1477_3;ERZ815347-1477_4;ERZ815347-1477_5;ERZ815347-1477_6;ERZ815347-1477_7;ERZ815347-1477_8	ERZ815347-1477_1;ERZ815347-1477_2;ERZ815347-1477_3;ERZ815347-1477_4;ERZ815347-1477_5;ERZ815347-1477_6;ERZ815347-1477_7;ERZ815347-1477_8	Non-ribosomal peptide synthetase cluster
ERZ815347-2088	ERZ815347-2088	bacteriocin	ERZ815347-2088_1;ERZ815347-2088_2;ERZ815347-2088_3;ERZ815347-2088_4;ERZ815347-2088_5;ERZ815347-2088_6;ERZ815347-2088_7	ERZ815347-2088_1;ERZ815347-2088_2;ERZ815347-2088_3;ERZ815347-2088_4;ERZ815347-2088_5;ERZ815347-2088_6;ERZ815347-2088_7	Bacteriocin or other unspecified ribosomally synthesised and post-translationally modified peptide product (RiPP) cluster
ERZ815347-2620	ERZ815347-2620	arylpolyene	ERZ815347-2620_1;ERZ815347-2620_2;ERZ815347-2620_3;ERZ815347-2620_4;ERZ815347-2620_5;ERZ815347-2620_6;ERZ815347-2620_7;ERZ815347-2620_8	ERZ815347-2620_1;ERZ815347-2620_2;ERZ815347-2620_3;ERZ815347-2620_4;ERZ815347-2620_5;ERZ815347-2620_6;ERZ815347-2620_7;ERZ815347-2620_8	Aryl polyene cluster
ERZ815347-3093	ERZ815347-3093	nrps	ERZ815347-3093_1;ERZ815347-3093_2;ERZ815347-3093_3;ERZ815347-3093_4	ERZ815347-3093_1;ERZ815347-3093_2;ERZ815347-3093_3;ERZ815347-3093_4	Non-ribosomal peptide synthetase cluster
ERZ815347-3372	ERZ815347-3372	nrps	ERZ815347-3372_1	ERZ815347-3372_1	Non-ribosomal peptide synthetase cluster
ERZ815347-4319	ERZ815347-4319	arylpolyene	ERZ815347-4319_1;ERZ815347-4319_2;ERZ815347-4319_3;ERZ815347-4319_4;ERZ815347-4319_5	ERZ815347-4319_1;ERZ815347-4319_2;ERZ815347-4319_3;ERZ815347-4319_4;ERZ815347-4319_5	Aryl polyene cluster
ERZ815347-8221	ERZ815347-8221	arylpolyene	ERZ815347-8221_1	ERZ815347-8221_1	Aryl polyene cluster
