Genome	KEGG_class	Counts
MGYG-HGUT-00240	09191	86
MGYG-HGUT-00240	09192	44
MGYG-HGUT-00240	09193	48
MGYG-HGUT-00240	09194	99
MGYG-HGUT-00240	09167	11
MGYG-HGUT-00240	09168	40
MGYG-HGUT-00240	09154	2
MGYG-HGUT-00240	09121	4
MGYG-HGUT-00240	09165	3
MGYG-HGUT-00240	09123	32
MGYG-HGUT-00240	09122	84
MGYG-HGUT-00240	09124	105
MGYG-HGUT-00240	09109	28
MGYG-HGUT-00240	09108	78
MGYG-HGUT-00240	09107	45
MGYG-HGUT-00240	09106	43
MGYG-HGUT-00240	09105	136
MGYG-HGUT-00240	09104	112
MGYG-HGUT-00240	09103	36
MGYG-HGUT-00240	09102	76
MGYG-HGUT-00240	09101	306
MGYG-HGUT-00240	09149	5
MGYG-HGUT-00240	09183	400
MGYG-HGUT-00240	09182	577
MGYG-HGUT-00240	09181	181
MGYG-HGUT-00240	09143	17
MGYG-HGUT-00240	09142	3
MGYG-HGUT-00240	09141	3
MGYG-HGUT-00240	09166	6
MGYG-HGUT-00240	09161	15
MGYG-HGUT-00240	09145	62
MGYG-HGUT-00240	09162	2
MGYG-HGUT-00240	09163	4
MGYG-HGUT-00240	09132	48
MGYG-HGUT-00240	09156	2
MGYG-HGUT-00240	09131	144
MGYG-HGUT-00240	09151	6
MGYG-HGUT-00240	09152	8
MGYG-HGUT-00240	09110	35
MGYG-HGUT-00240	09111	39
MGYG-HGUT-00240	09159	3
