Genome	KEGG_class	Counts
MGYG000297000	09183	384
MGYG000297000	09194	113
MGYG000297000	09111	232
MGYG000297000	09105	311
MGYG000297000	09107	47
MGYG000297000	09175	26
MGYG000297000	09181	178
MGYG000297000	09101	301
MGYG000297000	09103	90
MGYG000297000	09106	53
MGYG000297000	09108	141
MGYG000297000	09109	41
MGYG000297000	09122	74
MGYG000297000	09182	407
MGYG000297000	09102	145
MGYG000297000	09131	54
MGYG000297000	09145	75
MGYG000297000	09191	85
MGYG000297000	09192	26
MGYG000297000	09193	35
MGYG000297000	09123	41
MGYG000297000	09104	51
MGYG000297000	09132	76
MGYG000297000	09161	64
MGYG000297000	09159	16
MGYG000297000	09110	49
MGYG000297000	09149	20
MGYG000297000	09162	16
MGYG000297000	09166	35
MGYG000297000	09176	16
MGYG000297000	09141	11
MGYG000297000	09143	33
MGYG000297000	09152	37
MGYG000297000	09124	64
MGYG000297000	09164	43
MGYG000297000	09142	30
MGYG000297000	09167	9
MGYG000297000	09121	4
MGYG000297000	09154	5
MGYG000297000	09151	7
MGYG000297000	09171	25
MGYG000297000	09153	3
MGYG000297000	09156	4
MGYG000297000	09172	18
MGYG000297000	09174	2
MGYG000297000	09155	2
MGYG000297000	09158	1
