Genome	KEGG_module	Counts
MGYG-HGUT-00279	M00170	1
MGYG-HGUT-00279	M00173	16
MGYG-HGUT-00279	M00176	5
MGYG-HGUT-00279	M00179	31
MGYG-HGUT-00279	M00178	58
MGYG-HGUT-00279	M00740	1
MGYG-HGUT-00279	M00741	11
MGYG-HGUT-00279	M00377	6
MGYG-HGUT-00279	M00376	16
MGYG-HGUT-00279	M00375	7
MGYG-HGUT-00279	M00374	8
MGYG-HGUT-00279	M00373	2
MGYG-HGUT-00279	M00620	7
MGYG-HGUT-00279	M00064	6
MGYG-HGUT-00279	M00063	4
MGYG-HGUT-00279	M00149	3
MGYG-HGUT-00279	M00060	10
MGYG-HGUT-00279	M00144	1
MGYG-HGUT-00279	M00140	3
MGYG-HGUT-00279	M00141	1
MGYG-HGUT-00279	M00345	3
MGYG-HGUT-00279	M00596	1
MGYG-HGUT-00279	M00308	3
MGYG-HGUT-00279	M00260	18
MGYG-HGUT-00279	M00307	3
MGYG-HGUT-00279	M00854	1
MGYG-HGUT-00279	M00855	1
MGYG-HGUT-00279	M00696	1
MGYG-HGUT-00279	M00697	1
MGYG-HGUT-00279	M00011	12
MGYG-HGUT-00279	M00016	8
MGYG-HGUT-00279	M00017	11
MGYG-HGUT-00279	M00014	1
MGYG-HGUT-00279	M00015	3
MGYG-HGUT-00279	M00153	3
MGYG-HGUT-00279	M00018	8
MGYG-HGUT-00279	M00019	7
MGYG-HGUT-00279	M00157	8
MGYG-HGUT-00279	M00615	3
MGYG-HGUT-00279	M00609	1
MGYG-HGUT-00279	M00569	1
MGYG-HGUT-00279	M00093	3
MGYG-HGUT-00279	M00090	1
MGYG-HGUT-00279	M00096	15
MGYG-HGUT-00279	M00563	3
MGYG-HGUT-00279	M00095	1
MGYG-HGUT-00279	M00845	4
MGYG-HGUT-00279	M00844	5
MGYG-HGUT-00279	M00846	16
MGYG-HGUT-00279	M00841	9
MGYG-HGUT-00279	M00840	6
MGYG-HGUT-00279	M00843	1
MGYG-HGUT-00279	M00842	1
MGYG-HGUT-00279	M00849	1
MGYG-HGUT-00279	M00848	1
MGYG-HGUT-00279	M00001	14
MGYG-HGUT-00279	M00003	11
MGYG-HGUT-00279	M00002	8
MGYG-HGUT-00279	M00005	1
MGYG-HGUT-00279	M00004	12
MGYG-HGUT-00279	M00007	7
MGYG-HGUT-00279	M00006	2
MGYG-HGUT-00279	M00009	12
MGYG-HGUT-00279	M00008	2
MGYG-HGUT-00279	M00129	2
MGYG-HGUT-00279	M00126	16
MGYG-HGUT-00279	M00127	4
MGYG-HGUT-00279	M00124	2
MGYG-HGUT-00279	M00125	6
MGYG-HGUT-00279	M00122	10
MGYG-HGUT-00279	M00123	7
MGYG-HGUT-00279	M00120	7
MGYG-HGUT-00279	M00121	15
MGYG-HGUT-00279	M00089	3
MGYG-HGUT-00279	M00088	1
MGYG-HGUT-00279	M00579	4
MGYG-HGUT-00279	M00575	1
MGYG-HGUT-00279	M00083	7
MGYG-HGUT-00279	M00082	4
MGYG-HGUT-00279	M00570	11
MGYG-HGUT-00279	M00573	7
MGYG-HGUT-00279	M00086	1
MGYG-HGUT-00279	M00873	3
MGYG-HGUT-00279	M00874	3
MGYG-HGUT-00279	M00535	3
MGYG-HGUT-00279	M00627	2
MGYG-HGUT-00279	M00039	1
MGYG-HGUT-00279	M00034	10
MGYG-HGUT-00279	M00035	3
MGYG-HGUT-00279	M00036	2
MGYG-HGUT-00279	M00032	1
MGYG-HGUT-00279	M00033	2
MGYG-HGUT-00279	M00135	1
MGYG-HGUT-00279	M00134	1
MGYG-HGUT-00279	M00338	1
MGYG-HGUT-00279	M00133	3
MGYG-HGUT-00279	M00572	4
MGYG-HGUT-00279	M00549	2
MGYG-HGUT-00279	M00432	5
MGYG-HGUT-00279	M00546	3
MGYG-HGUT-00279	M00850	1
MGYG-HGUT-00279	M00868	7
MGYG-HGUT-00279	M00867	1
MGYG-HGUT-00279	M00866	12
MGYG-HGUT-00279	M00789	1
MGYG-HGUT-00279	M00029	5
MGYG-HGUT-00279	M00028	3
MGYG-HGUT-00279	M00023	15
MGYG-HGUT-00279	M00022	19
MGYG-HGUT-00279	M00021	3
MGYG-HGUT-00279	M00020	1
MGYG-HGUT-00279	M00026	26
MGYG-HGUT-00279	M00025	12
MGYG-HGUT-00279	M00024	11
MGYG-HGUT-00279	M00554	1
MGYG-HGUT-00279	M00552	3
MGYG-HGUT-00279	M00550	4
MGYG-HGUT-00279	M00652	1
MGYG-HGUT-00279	M00346	3
MGYG-HGUT-00279	M00344	1
MGYG-HGUT-00279	M00183	6
MGYG-HGUT-00279	M00718	1
MGYG-HGUT-00279	M00790	1
MGYG-HGUT-00279	M00793	2
MGYG-HGUT-00279	M00860	2
MGYG-HGUT-00279	M00577	9
MGYG-HGUT-00279	M00117	1
MGYG-HGUT-00279	M00116	10
MGYG-HGUT-00279	M00115	4
MGYG-HGUT-00279	M00114	3
MGYG-HGUT-00279	M00119	1
MGYG-HGUT-00279	M00118	1
MGYG-HGUT-00279	M00526	7
MGYG-HGUT-00279	M00527	8
MGYG-HGUT-00279	M00525	6
MGYG-HGUT-00279	M00642	4
MGYG-HGUT-00279	M00529	6
MGYG-HGUT-00279	M00052	5
MGYG-HGUT-00279	M00053	9
MGYG-HGUT-00279	M00050	9
MGYG-HGUT-00279	M00051	11
MGYG-HGUT-00279	M00357	6
MGYG-HGUT-00279	M00356	3
MGYG-HGUT-00279	M00804	4
MGYG-HGUT-00279	M00166	5
MGYG-HGUT-00279	M00167	7
MGYG-HGUT-00279	M00165	12
MGYG-HGUT-00279	M00531	2
MGYG-HGUT-00279	M00530	9
MGYG-HGUT-00279	M00532	4
MGYG-HGUT-00279	M00049	6
MGYG-HGUT-00279	M00048	16
MGYG-HGUT-00279	M00047	1
MGYG-HGUT-00279	M00046	4
MGYG-HGUT-00279	M00040	3
MGYG-HGUT-00279	M00364	4
MGYG-HGUT-00279	M00366	2
