Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000296000	MAG	1724917	33	85097	36.37	91.22	2.24	0.00	0.00	0.00	19	CAJVWI01	MGYG000296000	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__TMED14;s__	ERS7419190	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296000/genomes1/MGYG000296000.gff.gz
MGYG000296001	MAG	1907085	358	6427	60.33	84.02	3.35	0.00	0.00	0.00	13	CAJWON01	MGYG000296001	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__Synechococcus_E sp003209165	ERS7419020	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296001/genomes1/MGYG000296001.gff.gz
MGYG000296002	MAG	1894672	99	31430	37.18	91.41	1.65	95.80	0.00	0.00	15	CAJWLH01	MGYG000296002	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA7359;s__UBA7359 sp002470825	ERS7419051	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296002/genomes1/MGYG000296002.gff.gz
MGYG000296003	MAG	1618101	111	31842	30.51	81.32	4.95	0.00	0.00	0.00	13	CAJWNH01	MGYG000296003	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__TMED161;g__TMED161;s__TMED161 sp002731795	ERS7418376	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296003/genomes1/MGYG000296003.gff.gz
MGYG000296004	MAG	4258342	66	122019	57.46	98.34	0.0	94.12	0.00	11.15	18	CAJXUX01	MGYG000296004	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter manganoxydans_A	ERS7418490	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296004/genomes1/MGYG000296004.gff.gz
MGYG000296005	MAG	1555748	505	3017	39.22	60.79	2.15	0.00	0.00	0.00	16	CAJXOY01	MGYG000296005	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__UBA2774;g__CR02bin9;s__	ERS7418684	ERP121137	Arctic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296005/genomes1/MGYG000296005.gff.gz
MGYG000296006	MAG	1861477	442	4678	47.88	72.64	2.27	0.00	0.00	0.00	13	CAJXSJ01	MGYG000296006	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__JABDQZ01;s__	ERS7419267	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296006/genomes1/MGYG000296006.gff.gz
MGYG000296007	MAG	2920511	204	22284	38.59	96.13	1.39	0.00	0.00	0.00	17	CAJXYG01	MGYG000296007	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__UBA4465;s__UBA4465 sp002470835	ERS7418320	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296007/genomes1/MGYG000296007.gff.gz
MGYG000296008	MAG	1093713	72	34250	37.54	63.36	0.0	0.00	0.00	0.00	13	CAJWNE01	MGYG000296008	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__VMDH01;s__VMDH01 sp008080945	ERS7418659	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296008/genomes1/MGYG000296008.gff.gz
MGYG000296009	MAG	1154723	42	40794	39.86	99.83	0.66	94.12	21.79	65.26	20	CAJXJO01	MGYG000296009	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__UBA2013;s__UBA2013 sp003489145	ERS7418645	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296009/genomes1/MGYG000296009.gff.gz
MGYG000296010	MAG	1243672	36	91468	32.41	74.19	3.76	0.00	0.00	11.49	13	CAJWWC01	MGYG000296010	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA7312;g__UBA8444;s__	ERS7418755	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296010/genomes1/MGYG000296010.gff.gz
MGYG000296011	MAG	1961835	18	229986	31.73	97.06	0.0	0.00	42.27	0.00	20	CAJWUI01	MGYG000296011	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__	ERS7418952	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296011/genomes1/MGYG000296011.gff.gz
MGYG000296012	MAG	1799289	228	10851	69.6	83.33	3.42	0.00	65.82	0.00	14	CAJWOG01	MGYG000296012	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA9410;s__	ERS7419132	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296012/genomes1/MGYG000296012.gff.gz
MGYG000296013	MAG	2115357	151	20258	47.45	92.26	0.34	0.00	0.00	0.00	15	CAJWKM01	MGYG000296013	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Idiomarina;s__Idiomarina baltica	ERS7419029	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296013/genomes1/MGYG000296013.gff.gz
