#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
GUT_GENOME001440_02576	1005704.HMPREF9968_0190	GUT_GENOME001431_00986;9.4e-152	GUT_GENOME001431_00986;542.7	Streptococcus oralis				ko:K07467					ko00000				Bacteria	1TPHQ@1239,1WQ1T@1303,4HCHD@91061,COG3620@1,COG3620@2	NA|NA|NA	K	Replication initiation factor
GUT_GENOME001440_02577	999413.HMPREF1094_00376	GUT_GENOME001431_02249;9.1e-71	GUT_GENOME001431_02249;272.7	Erysipelotrichia													Bacteria	1V42V@1239,29N5Q@1,3093K@2,3VQHI@526524	NA|NA|NA
GUT_GENOME001440_02574	500632.CLONEX_01943	GUT_GENOME001429_00964;1.4e-24	GUT_GENOME001429_00964;119.4	Firmicutes													Bacteria	1VFNU@1239,COG1846@1,COG1846@2	NA|NA|NA	K	Transcriptional regulator, MarR family
GUT_GENOME001440_02575	1414720.CBYM010000004_gene256	GUT_GENOME001429_00963;6.2e-72	GUT_GENOME001429_00963;278.1	Clostridiaceae	ica2			ko:K11936	ko02026,map02026				ko00000,ko00001,ko01000,ko01003,ko02000	4.D.1.1.2,4.D.1.1.3	GT2		Bacteria	1TSK5@1239,25B0I@186801,36WFR@31979,COG1215@1,COG1215@2	NA|NA|NA	M	glycosyl transferase family 2
GUT_GENOME001440_02476	908340.HMPREF9406_4009	GUT_GENOME001429_01754;5e-82	GUT_GENOME001429_01754;310.5	Clostridiaceae	ftnA	GO:0003674,GO:0003824,GO:0004322,GO:0005488,GO:0005506,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006873,GO:0006875,GO:0006879,GO:0006880,GO:0006950,GO:0006974,GO:0006979,GO:0008150,GO:0008152,GO:0008199,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0016491,GO:0016722,GO:0016724,GO:0019725,GO:0030003,GO:0033554,GO:0042221,GO:0042592,GO:0042802,GO:0043167,GO:0043169,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0046916,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051235,GO:0051238,GO:0051641,GO:0051651,GO:0051716,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071241,GO:0071248,GO:0071281,GO:0097577,GO:0098771	1.16.3.1,1.16.3.2	ko:K02217,ko:K02255,ko:K03594	ko00860,map00860		R00078	RC02758	ko00000,ko00001,ko01000				Bacteria	1V1BJ@1239,24FUF@186801,36IYC@31979,COG1528@1,COG1528@2	NA|NA|NA	P	Iron-storage protein
GUT_GENOME001440_02253	908340.HMPREF9406_1976	GUT_GENOME001429_01232;4.8e-74	GUT_GENOME001429_01232;284.3	Clostridiaceae	phoU			ko:K02039					ko00000				Bacteria	1URN3@1239,24FTM@186801,36FX2@31979,COG0704@1,COG0704@2	NA|NA|NA	P	Plays a role in the regulation of phosphate uptake
GUT_GENOME001440_02252	908340.HMPREF9406_1975	GUT_GENOME001429_01233;7.3e-122	GUT_GENOME001429_01233;443.4	Clostridiaceae	pstB	GO:0003674,GO:0003824,GO:0005215,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0008150,GO:0008509,GO:0015075,GO:0015103,GO:0015114,GO:0015318,GO:0015399,GO:0015405,GO:0015415,GO:0015698,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0034220,GO:0035435,GO:0042623,GO:0042626,GO:0043225,GO:0043492,GO:0051179,GO:0051234,GO:0055085,GO:0098656,GO:0098660,GO:0098661,GO:0099133	3.6.3.27	ko:K02036	ko02010,map02010	M00222			ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.7			Bacteria	1TP1M@1239,247RD@186801,36DJ4@31979,COG1117@1,COG1117@2	NA|NA|NA	P	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system
GUT_GENOME001440_02251	908340.HMPREF9406_1974	GUT_GENOME001429_01234;2.2e-160	GUT_GENOME001429_01234;572.0	Clostridiaceae	pstA			ko:K02037,ko:K02038	ko02010,map02010	M00222			ko00000,ko00001,ko00002,ko02000	3.A.1.7			Bacteria	1TP74@1239,248C4@186801,36DCX@31979,COG0581@1,COG0581@2	NA|NA|NA	P	Phosphate transport system permease protein PstA
GUT_GENOME001440_02250	552396.HMPREF0863_00966	GUT_GENOME001429_01235;2.3e-125	GUT_GENOME001429_01235;455.3	Erysipelotrichia	pstC			ko:K02037,ko:K02038	ko02010,map02010	M00222			ko00000,ko00001,ko00002,ko02000	3.A.1.7		iLJ478.TM1263	Bacteria	1TSPP@1239,3VPYT@526524,COG0573@1,COG0573@2	NA|NA|NA	P	probably responsible for the translocation of the substrate across the membrane
GUT_GENOME001440_00888	552396.HMPREF0863_02535	GUT_GENOME001429_01106;8.8e-87	GUT_GENOME001429_01106;326.6	Erysipelotrichia	rpe	GO:0003674,GO:0003824,GO:0004750,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009052,GO:0009056,GO:0009117,GO:0009987,GO:0016052,GO:0016853,GO:0016854,GO:0016857,GO:0019321,GO:0019323,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046365,GO:0046483,GO:0046496,GO:0046872,GO:0051156,GO:0051186,GO:0055086,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564,GO:1901575	5.1.3.1	ko:K01783	ko00030,ko00040,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00040,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007	R01529	RC00540	ko00000,ko00001,ko00002,ko01000				Bacteria	1TQK8@1239,3VQE1@526524,COG0036@1,COG0036@2	NA|NA|NA	G	Psort location Cytoplasmic, score
