Genome	Annotation	Counts	Coverage
MGYG-HGUT-00240	InterProScan	2148	83.16
MGYG-HGUT-00240	eggNOG	2259	87.46
MGYG-HGUT-00240	COG	2083	80.64
MGYG-HGUT-00240	KEGG	1377	53.31
MGYG-HGUT-00240	Missing	250	9.68
