Genome	KEGG_module	Counts
MGYG000307531	M00235	4
MGYG000307531	M00178	54
MGYG000307531	M00701	4
MGYG000307531	M00121	14
MGYG000307531	M00472	2
MGYG000307531	M00359	22
MGYG000307531	M00360	24
MGYG000307531	M00023	6
MGYG000307531	M00115	5
MGYG000307531	M00017	12
MGYG000307531	M00127	6
MGYG000307531	M00242	6
MGYG000307531	M00208	6
MGYG000307531	M00183	4
MGYG000307531	M00157	8
MGYG000307531	M00016	14
MGYG000307531	M00125	7
MGYG000307531	M00432	4
MGYG000307531	M00535	3
MGYG000307531	M00179	31
MGYG000307531	M00260	12
MGYG000307531	M00051	7
MGYG000307531	M00026	8
MGYG000307531	M00330	5
MGYG000307531	M00087	5
MGYG000307531	M00113	2
MGYG000307531	M00357	4
MGYG000307531	M00579	3
MGYG000307531	M00667	1
MGYG000307531	M00079	2
MGYG000307531	M00267	2
MGYG000307531	M00742	6
MGYG000307531	M00239	16
MGYG000307531	M00048	11
MGYG000307531	M00045	5
MGYG000307531	M00299	3
MGYG000307531	M00362	8
MGYG000307531	M00497	2
MGYG000307531	M00019	6
MGYG000307531	M00570	7
MGYG000307531	M00455	2
MGYG000307531	M00434	2
MGYG000307531	M00090	1
MGYG000307531	M00259	3
MGYG000307531	M00529	2
MGYG000307531	M00530	5
MGYG000307531	M00582	3
MGYG000307531	M00083	10
MGYG000307531	M00572	9
MGYG000307531	M00729	3
MGYG000307531	M00060	10
MGYG000307531	M00222	10
MGYG000307531	M00176	6
MGYG000307531	M00596	2
MGYG000307531	M00124	6
MGYG000307531	M00331	15
MGYG000307531	M00447	2
MGYG000307531	M00727	3
MGYG000307531	M00728	3
MGYG000307531	M00082	6
MGYG000307531	M00376	7
MGYG000307531	M00429	3
MGYG000307531	M00349	3
MGYG000307531	M00117	9
MGYG000307531	M00052	3
MGYG000307531	M00009	19
MGYG000307531	M00011	16
MGYG000307531	M00036	2
MGYG000307531	M00307	4
MGYG000307531	M00532	8
MGYG000307531	M00525	9
MGYG000307531	M00526	10
MGYG000307531	M00527	11
MGYG000307531	M00189	3
MGYG000307531	M00003	10
MGYG000307531	M00165	9
MGYG000307531	M00167	5
MGYG000307531	M00344	2
MGYG000307531	M00028	6
MGYG000307531	M00845	4
MGYG000307531	M00394	4
MGYG000307531	M00647	4
MGYG000307531	M00699	3
MGYG000307531	M00718	3
MGYG000307531	M00001	11
MGYG000307531	M00002	8
MGYG000307531	M00166	4
MGYG000307531	M00308	6
MGYG000307531	M00552	3
MGYG000307531	M00063	4
MGYG000307531	M00720	3
MGYG000307531	M00192	3
MGYG000307531	M00743	3
MGYG000307531	M00168	2
MGYG000307531	M00170	2
MGYG000307531	M00171	1
MGYG000307531	M00172	2
MGYG000307531	M00173	16
MGYG000307531	M00346	5
MGYG000307531	M00374	9
MGYG000307531	M00255	3
MGYG000307531	M00333	9
MGYG000307531	M00564	1
MGYG000307531	M00306	3
MGYG000307531	M00258	8
MGYG000307531	M00212	3
MGYG000307531	M00119	3
MGYG000307531	M00515	2
MGYG000307531	M00126	7
MGYG000307531	M00840	3
MGYG000307531	M00256	2
MGYG000307531	M00022	9
MGYG000307531	M00049	7
MGYG000307531	M00050	6
MGYG000307531	M00010	3
MGYG000307531	M00012	6
MGYG000307531	M00740	3
MGYG000307531	M00240	7
MGYG000307531	M00232	4
MGYG000307531	M00186	3
MGYG000307531	M00456	2
