Genome	KEGG_class	Counts
MGYG000307531	09191	95
MGYG000307531	09182	579
MGYG000307531	09108	140
MGYG000307531	09122	83
MGYG000307531	09183	547
MGYG000307531	09124	91
MGYG000307531	09181	206
MGYG000307531	09105	192
MGYG000307531	09145	106
MGYG000307531	09192	33
MGYG000307531	09132	133
MGYG000307531	09142	92
MGYG000307531	09194	134
MGYG000307531	09193	71
MGYG000307531	09102	134
MGYG000307531	09101	281
MGYG000307531	09111	29
MGYG000307531	09131	118
MGYG000307531	09121	4
MGYG000307531	09151	11
MGYG000307531	09159	15
MGYG000307531	09171	40
MGYG000307531	09106	40
MGYG000307531	09175	23
MGYG000307531	09110	38
MGYG000307531	09103	82
MGYG000307531	09104	92
MGYG000307531	09109	26
MGYG000307531	09123	50
MGYG000307531	09107	65
MGYG000307531	09161	21
MGYG000307531	09143	20
MGYG000307531	09154	9
MGYG000307531	09141	11
MGYG000307531	09158	1
MGYG000307531	09152	24
MGYG000307531	09164	26
MGYG000307531	09166	14
MGYG000307531	09149	15
MGYG000307531	09156	6
MGYG000307531	09172	2
MGYG000307531	09167	10
MGYG000307531	09162	2
MGYG000307531	09174	1
MGYG000307531	09176	4
MGYG000307531	09163	2
MGYG000307531	09153	3
MGYG000307531	09155	1
