Genome	KEGG_module	Counts
MGYG000297002	M00151	3
MGYG000297002	M00152	3
MGYG000297002	M00157	8
MGYG000297002	M00178	53
MGYG000297002	M00179	31
MGYG000297002	M00335	10
MGYG000297002	M00001	9
MGYG000297002	M00003	7
MGYG000297002	M00165	8
MGYG000297002	M00167	4
MGYG000297002	M00140	5
MGYG000297002	M00377	4
MGYG000297002	M00018	4
MGYG000297002	M00114	1
MGYG000297002	M00208	7
MGYG000297002	M00126	7
MGYG000297002	M00841	4
MGYG000297002	M00432	4
MGYG000297002	M00535	3
MGYG000297002	M00359	19
MGYG000297002	M00360	21
MGYG000297002	M00004	6
MGYG000297002	M00006	3
MGYG000297002	M00050	5
MGYG000297002	M00086	1
MGYG000297002	M00237	15
MGYG000297002	M00082	7
MGYG000297002	M00063	4
MGYG000297002	M00096	5
MGYG000297002	M00357	2
MGYG000297002	M00017	8
MGYG000297002	M00007	3
MGYG000297002	M00166	4
MGYG000297002	M00049	5
MGYG000297002	M00048	10
MGYG000297002	M00117	7
MGYG000297002	M00254	5
MGYG000297002	M00060	10
MGYG000297002	M00087	5
MGYG000297002	M00113	1
MGYG000297002	M00239	7
MGYG000297002	M00258	2
MGYG000297002	M00008	2
MGYG000297002	M00235	1
MGYG000297002	M00236	3
MGYG000297002	M00009	15
MGYG000297002	M00010	3
MGYG000297002	M00012	5
MGYG000297002	M00173	12
MGYG000297002	M00133	1
MGYG000297002	M00016	11
MGYG000297002	M00033	2
MGYG000297002	M00525	7
MGYG000297002	M00526	7
MGYG000297002	M00527	8
MGYG000297002	M00840	3
MGYG000297002	M00189	3
MGYG000297002	M00044	3
MGYG000297002	M00019	5
MGYG000297002	M00570	6
MGYG000297002	M00131	1
MGYG000297002	M00026	11
MGYG000297002	M00221	8
MGYG000297002	M00119	3
MGYG000297002	M00083	10
MGYG000297002	M00572	9
MGYG000297002	M00155	5
MGYG000297002	M00124	5
MGYG000297002	M00231	3
MGYG000297002	M00260	6
MGYG000297002	M00240	1
MGYG000297002	M00232	4
MGYG000297002	M00183	4
MGYG000297002	M00123	4
MGYG000297002	M00573	4
MGYG000297002	M00577	4
MGYG000297002	M00154	3
MGYG000297002	M00135	4
MGYG000297002	M00045	4
MGYG000297002	M00023	9
MGYG000297002	M00580	1
MGYG000297002	M00011	12
MGYG000297002	M00149	3
MGYG000297002	M00374	11
MGYG000297002	M00376	7
MGYG000297002	M00015	3
MGYG000297002	M00141	2
MGYG000297002	M00346	8
MGYG000297002	M00532	11
MGYG000297002	M00144	15
MGYG000297002	M00121	10
MGYG000297002	M00324	5
MGYG000297002	M00739	1
MGYG000297002	M00259	3
MGYG000297002	M00176	4
MGYG000297002	M00596	5
MGYG000297002	M00115	4
MGYG000297002	M00742	4
MGYG000297002	M00740	3
MGYG000297002	M00029	3
MGYG000297002	M00844	3
MGYG000297002	M00845	7
MGYG000297002	M00027	1
MGYG000297002	M00120	4
MGYG000297002	M00549	1
MGYG000297002	M00002	6
MGYG000297002	M00136	3
MGYG000297002	M00336	4
MGYG000297002	M00307	3
MGYG000297002	M00620	5
MGYG000297002	M00089	3
MGYG000297002	M00546	4
MGYG000297002	M00013	1
MGYG000297002	M00190	3
MGYG000297002	M00449	3
MGYG000297002	M00125	5
MGYG000297002	M00035	2
MGYG000297002	M00168	1
MGYG000297002	M00127	4
MGYG000297002	M00051	7
MGYG000297002	M00439	5
MGYG000297002	M00036	6
MGYG000297002	M00842	1
MGYG000297002	M00843	1
MGYG000297002	M00299	4
MGYG000297002	M00300	4
MGYG000297002	M00550	1
MGYG000297002	M00022	7
MGYG000297002	M00032	5
MGYG000297002	M00394	2
MGYG000297002	M00093	4
MGYG000297002	M00320	3
MGYG000297002	M00088	4
MGYG000297002	M00211	1
MGYG000297002	M00362	1
MGYG000297002	M00030	1
MGYG000297002	M00194	2
MGYG000297002	M00199	1
MGYG000297002	M00200	2
MGYG000297002	M00204	2
MGYG000297002	M00207	5
MGYG000297002	M00491	2
MGYG000297002	M00555	4
MGYG000297002	M00028	6
MGYG000297002	M00502	1
MGYG000297002	M00118	2
MGYG000297002	M00024	1
MGYG000297002	M00025	2
MGYG000297002	M00095	1
MGYG000297002	M00373	1
MGYG000297002	M00375	1
MGYG000297002	M00457	2
MGYG000297002	M00563	2
MGYG000297002	M00729	1
MGYG000297002	M00034	1
MGYG000297002	M00368	1
MGYG000297002	M00609	1
MGYG000297002	M00728	1
MGYG000297002	M00530	1
MGYG000297002	M00498	1
MGYG000297002	M00308	2
MGYG000297002	M00552	2
MGYG000297002	M00053	5
MGYG000297002	M00052	3
MGYG000297002	M00242	3
MGYG000297002	M00228	1
MGYG000297002	M00150	1
MGYG000297002	M00005	1
MGYG000297002	M00579	1
MGYG000297002	M00116	2
MGYG000297002	M00122	1
MGYG000297002	M00322	1
MGYG000297002	M00021	2
MGYG000297002	M00079	1
MGYG000297002	M00020	2
MGYG000297002	M00080	1
MGYG000297002	M00255	1
MGYG000297002	M00727	1
MGYG000297002	M00104	1
MGYG000297002	M00364	1
MGYG000297002	M00366	1
MGYG000297002	M00129	1
MGYG000297002	M00344	1
MGYG000297002	M00345	1
MGYG000297002	M00429	1
MGYG000297002	M00038	1
MGYG000297002	M00722	1
MGYG000297002	M00497	1
MGYG000297002	M00622	1
