Genome	KEGG_module	Counts
MGYG-HGUT-00240	M00171	1
MGYG-HGUT-00240	M00173	4
MGYG-HGUT-00240	M00172	1
MGYG-HGUT-00240	M00176	5
MGYG-HGUT-00240	M00179	30
MGYG-HGUT-00240	M00178	56
MGYG-HGUT-00240	M00079	1
MGYG-HGUT-00240	M00076	1
MGYG-HGUT-00240	M00077	1
MGYG-HGUT-00240	M00580	3
MGYG-HGUT-00240	M00377	2
MGYG-HGUT-00240	M00376	1
MGYG-HGUT-00240	M00375	1
MGYG-HGUT-00240	M00374	1
MGYG-HGUT-00240	M00373	1
MGYG-HGUT-00240	M00060	1
MGYG-HGUT-00240	M00140	3
MGYG-HGUT-00240	M00141	2
MGYG-HGUT-00240	M00183	4
MGYG-HGUT-00240	M00596	1
MGYG-HGUT-00240	M00308	3
MGYG-HGUT-00240	M00260	8
MGYG-HGUT-00240	M00307	1
MGYG-HGUT-00240	M00854	5
MGYG-HGUT-00240	M00855	4
MGYG-HGUT-00240	M00013	2
MGYG-HGUT-00240	M00011	2
MGYG-HGUT-00240	M00016	6
MGYG-HGUT-00240	M00017	4
MGYG-HGUT-00240	M00014	2
MGYG-HGUT-00240	M00015	1
MGYG-HGUT-00240	M00018	4
MGYG-HGUT-00240	M00150	1
MGYG-HGUT-00240	M00157	9
MGYG-HGUT-00240	M00609	4
MGYG-HGUT-00240	M00093	1
MGYG-HGUT-00240	M00090	1
MGYG-HGUT-00240	M00565	5
MGYG-HGUT-00240	M00096	13
MGYG-HGUT-00240	M00095	1
MGYG-HGUT-00240	M00846	8
MGYG-HGUT-00240	M00841	2
MGYG-HGUT-00240	M00840	2
MGYG-HGUT-00240	M00849	1
MGYG-HGUT-00240	M00001	22
MGYG-HGUT-00240	M00003	11
MGYG-HGUT-00240	M00002	8
MGYG-HGUT-00240	M00005	1
MGYG-HGUT-00240	M00004	13
MGYG-HGUT-00240	M00007	5
MGYG-HGUT-00240	M00006	5
MGYG-HGUT-00240	M00009	2
MGYG-HGUT-00240	M00008	4
MGYG-HGUT-00240	M00129	2
MGYG-HGUT-00240	M00126	3
MGYG-HGUT-00240	M00127	3
MGYG-HGUT-00240	M00124	1
MGYG-HGUT-00240	M00125	7
MGYG-HGUT-00240	M00120	6
MGYG-HGUT-00240	M00121	6
MGYG-HGUT-00240	M00089	1
MGYG-HGUT-00240	M00088	1
MGYG-HGUT-00240	M00579	5
MGYG-HGUT-00240	M00570	1
MGYG-HGUT-00240	M00572	1
MGYG-HGUT-00240	M00625	1
MGYG-HGUT-00240	M00039	1
MGYG-HGUT-00240	M00034	5
MGYG-HGUT-00240	M00035	6
MGYG-HGUT-00240	M00033	2
MGYG-HGUT-00240	M00135	4
MGYG-HGUT-00240	M00338	1
MGYG-HGUT-00240	M00131	3
MGYG-HGUT-00240	M00549	4
MGYG-HGUT-00240	M00546	2
MGYG-HGUT-00240	M00868	2
MGYG-HGUT-00240	M00022	14
MGYG-HGUT-00240	M00021	3
MGYG-HGUT-00240	M00020	1
MGYG-HGUT-00240	M00026	1
MGYG-HGUT-00240	M00025	5
MGYG-HGUT-00240	M00024	4
MGYG-HGUT-00240	M00552	3
MGYG-HGUT-00240	M00551	1
MGYG-HGUT-00240	M00651	6
MGYG-HGUT-00240	M00652	3
MGYG-HGUT-00240	M00346	2
MGYG-HGUT-00240	M00344	4
MGYG-HGUT-00240	M00345	11
MGYG-HGUT-00240	M00793	2
MGYG-HGUT-00240	M00117	2
MGYG-HGUT-00240	M00116	1
MGYG-HGUT-00240	M00115	5
MGYG-HGUT-00240	M00114	8
MGYG-HGUT-00240	M00526	3
MGYG-HGUT-00240	M00527	5
MGYG-HGUT-00240	M00525	5
MGYG-HGUT-00240	M00052	5
MGYG-HGUT-00240	M00053	10
MGYG-HGUT-00240	M00050	4
MGYG-HGUT-00240	M00051	15
MGYG-HGUT-00240	M00357	5
MGYG-HGUT-00240	M00166	3
MGYG-HGUT-00240	M00167	7
MGYG-HGUT-00240	M00165	10
MGYG-HGUT-00240	M00169	1
MGYG-HGUT-00240	M00531	1
MGYG-HGUT-00240	M00530	1
MGYG-HGUT-00240	M00532	1
MGYG-HGUT-00240	M00049	6
MGYG-HGUT-00240	M00048	12
MGYG-HGUT-00240	M00040	2
MGYG-HGUT-00240	M00364	2
MGYG-HGUT-00240	M00366	1
MGYG-HGUT-00240	M00368	2
MGYG-HGUT-00240	M00632	1
