#target name                                          accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#---------------------------------------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
ERZ477576.393148-NODE-393148-length-314-cov-1.46718   -         5_8S_rRNA            RF00002   hmm        1      153      220       68      -     -    6 0.44   0.0  112.1   3.2e-30 !   -
ERZ477576.321427-NODE-321427-length-345-cov-0.982759  -         5_8S_rRNA            RF00002   hmm        1      149      185       36      -     -    6 0.51   0.0   89.5   3.5e-23 !   -
ERZ477576.772803-NODE-772803-length-234-cov-1.02235   -         5_8S_rRNA            RF00002   hmm       47      153      233      128      -     -    6 0.41   0.0   55.8   1.2e-12 !   -
ERZ477576.857360-NODE-857360-length-225-cov-0.811765  -         5_8S_rRNA            RF00002   hmm        2       75      152      225      +     -    6 0.46   0.0   55.7   1.3e-12 !   -
ERZ477576.251978-NODE-251978-length-386-cov-3.56798   -         5_8S_rRNA            RF00002   hmm       11      115      194       88      -     -    6 0.57   0.0   38.6   2.6e-07 !   -
ERZ477576.20194-NODE-20194-length-1499-cov-4.24792    -         5_8S_rRNA            RF00002   hmm       11      109     1309     1209      -     -    6 0.62   0.0   37.2   7.3e-07 !   -
ERZ477576.116136-NODE-116136-length-566-cov-2.53425   -         5_8S_rRNA            RF00002   hmm       10      114       84      190      +     -    6 0.54   0.0   37.0   8.4e-07 !   -
ERZ477576.153355-NODE-153355-length-492-cov-5.78719   -         5_8S_rRNA            RF00002   hmm       10      110      253      355      +     -    6 0.52   0.0   36.6   1.2e-06 !   -
ERZ477576.6135-NODE-6135-length-3168-cov-30.0601      -         5_8S_rRNA            RF00002   hmm       11      109      873      973      +     -    6 0.49   0.0   36.5   1.2e-06 !   -
ERZ477576.225071-NODE-225071-length-408-cov-1.16714   -         5_8S_rRNA            RF00002   hmm       10      114      111      217      +     -    6 0.59   0.0   36.1   1.6e-06 !   -
ERZ477576.64408-NODE-64408-length-767-cov-2.8118      -         5_8S_rRNA            RF00002   hmm       10      106       42      140      +     -    6 0.57   0.0   35.7   2.2e-06 !   -
ERZ477576.328053-NODE-328053-length-341-cov-5.83217   -         5_8S_rRNA            RF00002   hmm        9      108      200      301      +     -    6 0.54   0.0   35.5   2.5e-06 !   -
ERZ477576.56643-NODE-56643-length-821-cov-14.7611     -         5_8S_rRNA            RF00002   hmm        7      127      441      319      -     -    6 0.50   0.0   35.4   2.6e-06 !   -
ERZ477576.162529-NODE-162529-length-478-cov-3.67849   -         5_8S_rRNA            RF00002   hmm       11      117      471      363      -     -    6 0.59   0.0   35.3   2.9e-06 !   -
ERZ477576.12843-NODE-12843-length-1989-cov-12.241     -         5_8S_rRNA            RF00002   hmm       10      108     1784     1684      -     -    6 0.47   0.0   34.9   3.8e-06 !   -
ERZ477576.175044-NODE-175044-length-461-cov-1.82512   -         5_8S_rRNA            RF00002   hmm       10      110       53      155      +     -    6 0.52   0.0   34.2   6.3e-06 !   -
ERZ477576.300843-NODE-300843-length-355-cov-4.08      -         5_8S_rRNA            RF00002   hmm       11      108      216      315      +     -    6 0.52   0.0   34.1   6.9e-06 !   -
ERZ477576.192162-NODE-192162-length-440-cov-3.27273   -         5_8S_rRNA            RF00002   hmm       11      109      179      279      +     -    6 0.52   0.0   32.9   1.6e-05 !   -
ERZ477576.936050-NODE-936050-length-217-cov-1.17901   -         5_8S_rRNA            RF00002   hmm       13      109      216      118      -     -    6 0.57   0.0   32.0   3.1e-05 !   -
ERZ477576.8896-NODE-8896-length-2503-cov-15.9812      -         5_8S_rRNA            RF00002   hmm        9      114     2121     2014      -     -    6 0.56   0.0   32.0   3.1e-05 !   -
ERZ477576.144919-NODE-144919-length-506-cov-9.19956   -         5_8S_rRNA            RF00002   hmm       13      108       32      129      +     -    6 0.53   0.0   31.9   3.3e-05 !   -
ERZ477576.20-NODE-20-length-51199-cov-120.907         -         5_8S_rRNA            RF00002   hmm        9      107    39904    39804      -     -    6 0.53   0.0   31.8   3.4e-05 !   -
ERZ477576.18287-NODE-18287-length-1592-cov-6.23032    -         5_8S_rRNA            RF00002   hmm       11      121     1212     1100      -     -    6 0.51   0.0   31.6     4e-05 !   -
ERZ477576.839764-NODE-839764-length-226-cov-55.4386   -         5_8S_rRNA            RF00002   hmm       11      110       37      139      +     -    6 0.50   0.0   31.6   4.2e-05 !   -
ERZ477576.30226-NODE-30226-length-1174-cov-5.61841    -         5_8S_rRNA            RF00002   hmm       11      115      147      253      +     -    6 0.53   0.0   31.6   4.2e-05 !   -
ERZ477576.4677-NODE-4677-length-3735-cov-57.7489      -         5_8S_rRNA            RF00002   hmm       10      110     3116     3014      -     -    6 0.50   0.0   31.5   4.3e-05 !   -
ERZ477576.170448-NODE-170448-length-467-cov-2.42233   -         5_8S_rRNA            RF00002   hmm        9      106      223      322      +     -    6 0.52   0.0   31.2   5.3e-05 !   -
ERZ477576.1087991-NODE-1087991-length-111-cov-94.0179 -         5_8S_rRNA            RF00002   hmm       10      106       10      108      +     -    6 0.51   0.0   31.0   6.1e-05 !   -
ERZ477576.35705-NODE-35705-length-1062-cov-36.4359    -         5_8S_rRNA            RF00002   hmm        9      127      482      361      -     -    6 0.50   0.0   30.9     7e-05 !   -
ERZ477576.6547-NODE-6547-length-3041-cov-10.5633      -         5_8S_rRNA            RF00002   hmm        9      110     1200     1304      +     -    6 0.50   0.0   30.6   8.1e-05 !   -
ERZ477576.20917-NODE-20917-length-1467-cov-25.3251    -         5_8S_rRNA            RF00002   hmm        9      107      962     1062      +     -    6 0.55   0.0   30.5   8.7e-05 !   -
ERZ477576.164609-NODE-164609-length-475-cov-6.86429   -         5_8S_rRNA            RF00002   hmm       11      109      274      374      +     -    6 0.51   0.0   30.4   9.3e-05 !   -
ERZ477576.49540-NODE-49540-length-883-cov-12.1087     -         5_8S_rRNA            RF00002   hmm        9      119      647      760      +     -    6 0.55   0.0   30.1   0.00012 !   -
ERZ477576.161827-NODE-161827-length-479-cov-4.41038   -         5_8S_rRNA            RF00002   hmm       11      112      472      369      -     -    6 0.58   0.0   30.0   0.00013 !   -
ERZ477576.210252-NODE-210252-length-421-cov-3.23497   -         5_8S_rRNA            RF00002   hmm       11      110      202      101      -     -    6 0.50   0.0   29.9   0.00014 !   -
ERZ477576.27627-NODE-27627-length-1236-cov-12.011     -         5_8S_rRNA            RF00002   hmm        8      107      852      750      -     -    6 0.55   0.0   29.6   0.00017 !   -
ERZ477576.524491-NODE-524491-length-276-cov-275.484   -         5_8S_rRNA            RF00002   hmm        9      109      155       53      -     -    6 0.49   0.0   29.6   0.00017 !   -
ERZ477576.16577-NODE-16577-length-1697-cov-20.0554    -         5_8S_rRNA            RF00002   hmm       10      109     1344     1243      -     -    6 0.59   0.0   29.4    0.0002 !   -
ERZ477576.816037-NODE-816037-length-229-cov-1.07471   -         5_8S_rRNA            RF00002   hmm       10      112       30      133      +     -    6 0.58   0.0   29.3   0.00022 !   -
ERZ477576.22679-NODE-22679-length-1395-cov-34.8328    -         5_8S_rRNA            RF00002   hmm       11      109      521      622      +     -    6 0.53   0.0   29.2   0.00023 !   -
ERZ477576.66846-NODE-66846-length-752-cov-2.19799     -         5_8S_rRNA            RF00002   hmm        9      108       26      128      +     -    6 0.62   0.0   28.9   0.00029 !   -
ERZ477576.100977-NODE-100977-length-608-cov-2.13382   -         5_8S_rRNA            RF00002   hmm       12      108      133       34      -     -    6 0.54   0.0   28.8    0.0003 !   -
ERZ477576.47919-NODE-47919-length-900-cov-8.59172     -         5_8S_rRNA            RF00002   hmm       10      110      201       99      -     -    6 0.57   0.0   28.8   0.00031 !   -
ERZ477576.143876-NODE-143876-length-508-cov-2.22737   -         5_8S_rRNA            RF00002   hmm       11      108      180      279      +     -    6 0.51   0.0   28.6   0.00034 !   -
ERZ477576.104802-NODE-104802-length-596-cov-6.18484   -         5_8S_rRNA            RF00002   hmm       13      108      196       99      -     -    6 0.51   0.0   28.6   0.00036 !   -
ERZ477576.529795-NODE-529795-length-275-cov-1.56818   -         5_8S_rRNA            RF00002   hmm        8       92      179      266      +     -    6 0.56   0.0   28.5   0.00038 !   -
ERZ477576.68190-NODE-68190-length-744-cov-3.08128     -         5_8S_rRNA            RF00002   hmm       10      110      371      473      +     -    6 0.49   0.0   28.1   0.00049 !   -
ERZ477576.28935-NODE-28935-length-1204-cov-18.0653    -         5_8S_rRNA            RF00002   hmm        8      107      547      445      -     -    6 0.52   0.0   28.0   0.00053 !   -
ERZ477576.223205-NODE-223205-length-409-cov-33.5678   -         5_8S_rRNA            RF00002   hmm       11      110       39      141      +     -    6 0.54   0.0   27.7   0.00065 !   -
ERZ477576.28298-NODE-28298-length-1219-cov-5.36168    -         5_8S_rRNA            RF00002   hmm        9      110      582      478      -     -    6 0.56   0.0   27.4   0.00083 !   -
ERZ477576.846715-NODE-846715-length-226-cov-0.894737  -         5_8S_rRNA            RF00002   hmm        9      112      212      107      -     -    6 0.50   0.0   27.4   0.00084 !   -
ERZ477576.39367-NODE-39367-length-1003-cov-7.72679    -         5_8S_rRNA            RF00002   hmm       10      110      286      389      +     -    6 0.55   0.0   27.1     0.001 !   -
ERZ477576.138817-NODE-138817-length-517-cov-18.171    -         5_8S_rRNA            RF00002   hmm       10      107      293      392      +     -    6 0.56   0.0   26.7    0.0013 !   -
ERZ477576.9153-NODE-9153-length-2459-cov-61.463       -         5_8S_rRNA            RF00002   hmm        9      127     2444     2323      -     -    6 0.48   0.0   26.7    0.0014 !   -
ERZ477576.564332-NODE-564332-length-267-cov-2.46226   -         5_8S_rRNA            RF00002   hmm        9      109      146      248      +     -    6 0.57   0.0   26.1    0.0021 !   -
ERZ477576.359022-NODE-359022-length-327-cov-2.03676   -         5_8S_rRNA            RF00002   hmm       10      109      312      211      -     -    6 0.57   0.0   26.0    0.0023 !   -
ERZ477576.922835-NODE-922835-length-218-cov-1.58896   -         5_8S_rRNA            RF00002   hmm        9      146      207       69      -     -    6 0.51   0.0   25.9    0.0024 !   -
ERZ477576.332211-NODE-332211-length-339-cov-4.04225   -         5_8S_rRNA            RF00002   hmm       10      108      168      268      +     -    6 0.54   0.0   25.8    0.0026 !   -
ERZ477576.49743-NODE-49743-length-881-cov-30.6707     -         5_8S_rRNA            RF00002   hmm       11      106      455      553      +     -    6 0.56   0.0   25.8    0.0026 !   -
ERZ477576.26987-NODE-26987-length-1254-cov-7.63887    -         5_8S_rRNA            RF00002   hmm       10      110      431      533      +     -    6 0.50   0.0   25.8    0.0027 !   -
ERZ477576.2666-NODE-2666-length-5311-cov-42.7479      -         5_8S_rRNA            RF00002   hmm        9      108     3474     3575      +     -    6 0.55   0.0   25.7    0.0027 !   -
ERZ477576.1570-NODE-1570-length-7108-cov-29.4987      -         5_8S_rRNA            RF00002   hmm       10       68     6891     6832      -     -    6 0.57   0.0   25.2     0.004 !   -
ERZ477576.288767-NODE-288767-length-362-cov-1.60586   -         5_8S_rRNA            RF00002   hmm        8      106      115       14      -     -    6 0.52   0.0   24.7    0.0058 !   -
ERZ477576.239077-NODE-239077-length-396-cov-1.93255   -         5_8S_rRNA            RF00002   hmm       11       68       68       10      -     -    6 0.56   0.0   24.4    0.0069 !   -
